Date,Day,Steps,Miles To Jog 
1/1/2025,Day 1,Walk 3000 steps,
1/3/2025,Day 3,Walk 3000 steps,
1/5/2025,Day 5,Walk 3000 steps,
,Optional Day 7,Walk 3000 steps,
1/7/2025,Day 1,Walk 4000 steps,
1/9/2025,Day 3,Walk 4000 steps,
1/11/2025,Day 5,Walk 4000 steps,
,Optional Day 7,Walk 4000 steps,
1/13/2025,Day 1,Walk 5000 steps,
1/15/2025,Day 3,Walk 5000 steps,
1/17/2025,Day 5,Walk 5000 steps,
,Optional Day 7,Walk 5000 steps,
1/19/2025,Day 1,Walk 6000 steps,
1/21/2025,Day 3,Walk 6000 steps,0.5
1/23/2025,Day 5,Walk 6000 steps,0.5
,Optional Day 7,Walk 6000 steps,0.5
1/25/2025,Day 1,Walk 6000 steps,0.5
1/27/2025,Day 3,Walk 6000 steps,0.5
1/29/2025,Day 5,Walk 6000 steps,0.5
,Optional Day 7,Walk 6000 steps,0.5
1/31/2025,Day 1,Walk 7000 steps,0.5
2/2/2025,Day 3,Walk 7000 steps,0.5
2/4/2025,Day 5,Walk 7000 steps,0.5
,Optional Day 7,Walk 7000 steps,0.5
2/6/2025,Day 1,Walk 8000 steps,0.5
2/8/2025,Day 3,Walk 8000 steps,0.5
2/10/2025,Day 5,Walk 8000 steps,0.5
,Optional Day 7,Walk 8000 steps,0.5
2/12/2025,Day 1,Walk 8000 steps,0.5
2/14/2025,Day 3,Walk 8000 steps,0.5
2/16/2025,Day 5,Walk 8000 steps,0.5
,Optional Day 7,Walk 8000 steps,0.5
2/18/2025,Day 1,Walk 6000 steps,1
2/20/2025,Day 3,Walk 6000 steps,1
2/22/2025,Day 5,Walk 6000 steps,1
,Optional Day 7,Walk 6000 steps,1
2/24/2025,Day 1,Walk 7000 steps,1
2/26/2025,Day 3,Walk 7000 steps,1
2/28/2025,Day 5,Walk 7000 steps,1
,Optional Day 7,Walk 7000 steps,1
3/2/2025,Day 1,Walk 8000 steps,1
3/4/2025,Day 3,Walk 8000 steps,1
3/6/2025,Day 5,Walk 8000 steps,1
,Optional Day 7,Walk 8000 steps,1
3/8/2025,Day 1,Walk 8000 steps,1
3/10/2025,Day 3,Walk 8000 steps,1
3/12/2025,Day 5,Walk 8000 steps,1
,Optional Day 7,Walk 8000 steps,1
3/14/2025,,,
3/16/2025,Day 1,Walk 6000 steps,1.5
3/18/2025,Day 3,Walk 6000 steps,1.5
3/20/2025,Day 5,Walk 6000 steps,1.5
,Optional Day 7,Walk 6000 steps,1.5
3/22/2025,Day 1,Walk 7000 steps,1.5
3/24/2025,Day 3,Walk 7000 steps,1.5
3/26/2025,Day 5,Walk 7000 steps,1.5
,Optional Day 7,Walk 7000 steps,1.5
3/28/2025,Day 1,Walk 8000 steps,1.5
3/30/2025,Day 3,Walk 8000 steps,1.5
4/1/2025,Day 5,Walk 8000 steps,1.5
,Optional Day 7,Walk 8000 steps,1.5
4/3/2025,Day 1,Walk 8000 steps,1.5
4/5/2025,Day 3,Walk 8000 steps,1.5
4/7/2025,Day 5,Walk 8000 steps,1.5
,Optional Day 7,Walk 8000 steps,1.5
4/9/2025,Day 1,Walk 6000 steps,2
4/11/2025,Day 3,Walk 6000 steps,2
4/13/2025,Day 5,Walk 6000 steps,2
,Optional Day 7,Walk 6000 steps,2
4/15/2025,Day 1,Walk 7000 steps,2
4/17/2025,Day 3,Walk 7000 steps,2
4/19/2025,Day 5,Walk 7000 steps,2
,Optional Day 7,Walk 7000 steps,2
4/21/2025,Day 1,Walk 8000 steps,2
4/23/2025,Day 3,Walk 8000 steps,2
4/25/2025,Day 5,Walk 8000 steps,2
,Optional Day 7,Walk 8000 steps,2
4/27/2025,Day 1,Walk 8000 steps,2
4/29/2025,Day 3,Walk 8000 steps,2
5/1/2025,Day 5,Walk 8000 steps,2
,Optional Day 7,Walk 8000 steps,2
5/3/2025,Day 1,Walk 6000 steps,2.5
5/5/2025,Day 3,Walk 6000 steps,2.5
5/7/2025,Day 5,Walk 6000 steps,2.5
,Optional Day 7,Walk 6000 steps,2.5
5/9/2025,Day 1,Walk 7000 steps,2.5
5/11/2025,Day 3,Walk 7000 steps,2.5
5/13/2025,Day 5,Walk 7000 steps,2.5
,Optional Day 7,Walk 7000 steps,2.5
5/15/2025,Day 1,Walk 8000 steps,2.5
5/17/2025,Day 3,Walk 8000 steps,2.5
5/19/2025,Day 5,Walk 8000 steps,2.5
,Optional Day 7,Walk 8000 steps,2.5
5/21/2025,Day 1,Walk 8000 steps,2.5
5/23/2025,Day 3,Walk 8000 steps,2.5
5/25/2025,Day 5,Walk 8000 steps,2.5
,Optional Day 7,Walk 8000 steps,2.5
5/27/2025,Day 1,Walk 6000 steps,2.5
5/29/2025,Day 3,Walk 6000 steps,2.5
5/31/2025,Day 5,Walk 6000 steps,2.5
,Optional Day 7,Walk 6000 steps,3
6/2/2025,Day 1,Walk 7000 steps,3
6/4/2025,Day 3,Walk 7000 steps,3
6/6/2025,Day 5,Walk 7000 steps,3
,Optional Day 7,Walk 7000 steps,3
6/8/2025,Day 1,Walk 8000 steps,3
6/10/2025,Day 3,Walk 8000 steps,3
6/12/2025,Day 5,Walk 8000 steps,3
,Optional Day 7,Walk 8000 steps,3
6/14/2025,Day 1,Walk 8000 steps,3
6/16/2025,Day 3,Walk 8000 steps,3
6/18/2025,Day 5,Walk 8000 steps,3
,Optional Day 7,Walk 8000 steps,3
6/20/2025,Day 1,Walk 6000 steps,3.5
6/22/2025,Day 3,Walk 6000 steps,3.5
6/24/2025,Day 5,Walk 6000 steps,3.5
,Optional Day 7,Walk 6000 steps,3.5
6/26/2025,Day 1,Walk 7000 steps,3.5
6/28/2025,Day 3,Walk 7000 steps,3.5
6/30/2025,Day 5,Walk 7000 steps,3.5
,Optional Day 7,Walk 7000 steps,3.5
7/2/2025,Day 1,Walk 8000 steps,3.5
7/4/2025,Day 3,Walk 8000 steps,3.5
7/6/2025,Day 5,Walk 8000 steps,3.5
,Optional Day 7,Walk 8000 steps,3.5
7/8/2025,Day 1,Walk 8000 steps,4
7/10/2025,Day 3,Walk 8000 steps,4
7/12/2025,Day 5,Walk 8000 steps,4
,Optional Day 7,Walk 8000 steps,4
7/14/2025,Day 1,Walk 6000 steps,4
7/16/2025,Day 3,Walk 6000 steps,4
7/18/2025,Day 5,Walk 6000 steps,4
,Optional Day 7,Walk 6000 steps,4.5
7/20/2025,Day 1,Walk 7000 steps,4.5
7/22/2025,Day 3,Walk 7000 steps,4.5
7/24/2025,Day 5,Walk 7000 steps,4.5
,Optional Day 7,Walk 7000 steps,4.5
7/26/2025,Day 1,Walk 8000 steps,4.5
7/28/2025,Day 3,Walk 8000 steps,4.5
7/30/2025,Day 5,Walk 8000 steps,4.5
,Optional Day 7,Walk 8000 steps,4.5
8/1/2025,Day 1,Walk 8000 steps,5
8/3/2025,Day 3,Walk 8000 steps,5
8/5/2025,Day 5,Walk 8000 steps,5
,Optional Day 7,Walk 8000 steps,5
8/7/2025,Day 1,Walk 6000 steps,5
8/9/2025,Day 3,Walk 6000 steps,5
8/11/2025,Day 5,Walk 6000 steps,5
,Optional Day 7,Walk 6000 steps,5
8/13/2025,Day 1,Walk 7000 steps,5
8/15/2025,Day 3,Walk 7000 steps,5
8/17/2025,Day 5,Walk 7000 steps,5
,Optional Day 7,Walk 7000 steps,5
8/19/2025,Day 1,Walk 8000 steps,5
8/21/2025,Day 3,Walk 8000 steps,5
8/23/2025,Day 5,Walk 8000 steps,5
,Optional Day 7,Walk 8000 steps,5
8/25/2025,Day 1,Walk 8000 steps,5.5
8/27/2025,Day 3,Walk 8000 steps,5.5
8/29/2025,Day 5,Walk 8000 steps,5.5
,Optional Day 7,Walk 8000 steps,5.5
8/31/2025,Day 1,Walk 6000 steps,5.5
9/2/2025,Day 3,Walk 6000 steps,5.5
9/4/2025,Day 5,Walk 6000 steps,5.5
,Optional Day 7,Walk 6000 steps,5.5
9/6/2025,Day 1,Walk 7000 steps,5.5
9/8/2025,Day 3,Walk 7000 steps,5.5
9/10/2025,Day 5,Walk 7000 steps,5.5
,Optional Day 7,Walk 7000 steps,5.5
9/12/2025,Day 1,Walk 8000 steps,6
9/14/2025,Day 3,Walk 8000 steps,6
9/16/2025,Day 5,Walk 8000 steps,6
,Optional Day 7,Walk 8000 steps,6
9/18/2025,Day 1,Walk 8000 steps,6
9/20/2025,Day 3,Walk 8000 steps,6
9/22/2025,Day 5,Walk 8000 steps,6
,Optional Day 7,Walk 8000 steps,6
9/24/2025,Day 1,Walk 6000 steps,6
9/26/2025,Day 3,Walk 6000 steps,6
9/28/2025,Day 5,Walk 6000 steps,6
,Optional Day 7,Walk 6000 steps,6
9/30/2025,Day 1,Walk 7000 steps,6
10/2/2025,Day 3,Walk 7000 steps,6
10/4/2025,Day 5,Walk 7000 steps,6
,Optional Day 7,Walk 7000 steps,6
10/6/2025,Day 1,Walk 8000 steps,6
10/8/2025,Day 3,Walk 8000 steps,6
10/10/2025,Day 5,Walk 8000 steps,6
,Optional Day 7,Walk 8000 steps,6
10/12/2025,Day 1,Walk 8000 steps,6
10/14/2025,Day 3,Walk 8000 steps,6
10/16/2025,Day 5,Walk 8000 steps,6
,Optional Day 7,Walk 8000 steps,6
10/18/2025,Day 1,Walk 6000 steps,7
10/20/2025,Day 3,Walk 6000 steps,7
10/22/2025,Day 5,Walk 6000 steps,7
,Optional Day 7,Walk 6000 steps,7
10/24/2025,Day 1,Walk 7000 steps,7
10/26/2025,Day 3,Walk 7000 steps,7
10/28/2025,Day 5,Walk 7000 steps,7
,Optional Day 7,Walk 7000 steps,7
10/30/2025,Day 1,Walk 8000 steps,7
11/1/2025,Day 3,Walk 8000 steps,7
11/3/2025,Day 5,Walk 8000 steps,7
,Optional Day 7,Walk 8000 steps,7
11/5/2025,Day 1,Walk 8000 steps,7
11/7/2025,Day 3,Walk 8000 steps,7
11/9/2025,Day 5,Walk 8000 steps,7
,Optional Day 7,Walk 8000 steps,7
11/11/2025,Day 1,Walk 6000 steps,7.5
11/13/2025,Day 3,Walk 6000 steps,7.5
11/15/2025,Day 5,Walk 6000 steps,7.5
,Optional Day 7,Walk 6000 steps,7.5
11/17/2025,Day 1,Walk 7000 steps,7.5
11/19/2025,Day 3,Walk 7000 steps,7.5
11/21/2025,Day 5,Walk 7000 steps,7.5
,Optional Day 7,Walk 7000 steps,7.5
11/23/2025,Day 1,Walk 8000 steps,7.5
11/25/2025,Day 3,Walk 8000 steps,7.5
11/27/2025,Day 5,Walk 8000 steps,7.5
,Optional Day 7,Walk 8000 steps,7.5
11/29/2025,Day 1,Walk 8000 steps,7.5
12/1/2025,Day 3,Walk 8000 steps,7.5
12/3/2025,Day 5,Walk 8000 steps,7.5
,Optional Day 7,Walk 8000 steps,7.5
12/5/2025,Day 1,Walk 6000 steps,8
12/7/2025,Day 3,Walk 6000 steps,8
12/9/2025,Day 5,Walk 6000 steps,8
,Optional Day 7,Walk 6000 steps,8
12/11/2025,Day 1,Walk 7000 steps,8
12/13/2025,Day 3,Walk 7000 steps,8
12/15/2025,Day 5,Walk 7000 steps,8
,Optional Day 7,Walk 7000 steps,8
12/17/2025,Day 1,Walk 8000 steps,8
12/19/2025,Day 3,Walk 8000 steps,8
12/21/2025,Day 5,Walk 8000 steps,8
,Optional Day 7,Walk 8000 steps,8
12/23/2025,Day 1,Walk 8000 steps,8
12/25/2025,Day 3,Walk 8000 steps,8
12/27/2025,Day 5,Walk 8000 steps,8
,Optional Day 7,Walk 8000 steps,8
12/29/2025,Day 1,Walk 3000 steps,5
12/31/2025,Day 3,Walk 3000 steps,5
1/2/2026,Day 5,Walk 3000 steps,5
,Optional Day 7,Walk 3000 steps,5
1/4/2026,Day 1,Walk 4000 steps,5
1/6/2026,Day 3,Walk 4000 steps,6
1/8/2026,Day 5,Walk 4000 steps,6
,Optional Day 7,Walk 4000 steps,6
1/10/2026,Day 1,Walk 5000 steps,7
1/12/2026,Day 3,Walk 5000 steps,7
1/14/2026,Day 5,Walk 5000 steps,7
,Optional Day 7,Walk 5000 steps,8
1/16/2026,Day 1,Walk 6000 steps,8
1/18/2026,Day 3,Walk 6000 steps,8
1/20/2026,Day 5,Walk 6000 steps,8
,Optional Day 7,Walk 6000 steps,9
1/22/2026,Day 1,Walk 3000 steps,9
1/24/2026,Day 3,Walk 3000 steps,9
1/26/2026,Day 5,Walk 3000 steps,6
,Optional Day 7,Walk 3000 steps,6
1/28/2026,Day 1,Walk 4000 steps,6
1/30/2026,Day 3,Walk 4000 steps,6
2/1/2026,Day 5,Walk 4000 steps,8
,Optional Day 7,Walk 4000 steps,8
2/3/2026,Day 1,Walk 5000 steps,9
2/5/2026,Day 3,Walk 5000 steps,10
2/7/2026,Day 5,Walk 5000 steps,12
,Optional Day 7,Walk 5000 steps,13
2/9/2026,Day 1,Walk 6000 steps,15
2/11/2026,Day 3,Walk 6000 steps,16
2/13/2026,Day 5,Walk 6000 steps,10
,Optional Day 7,Walk 6000 steps,10
2/15/2026,Day 1,Walk 3000 steps,10
2/17/2026,Day 3,Walk 3000 steps,10
2/19/2026,Day 5,Walk 3000 steps,10
,Optional Day 7,Walk 3000 steps,10
2/21/2026,Day 1,Walk 4000 steps,10
2/23/2026,Day 3,Walk 4000 steps,11
2/25/2026,Day 5,Walk 4000 steps,11
,Optional Day 7,Walk 4000 steps,11
2/27/2026,Day 1,Walk 5000 steps,11
3/1/2026,Day 3,Walk 5000 steps,11
3/3/2026,Day 5,Walk 5000 steps,11
,Optional Day 7,Walk 5000 steps,11
3/5/2026,Day 1,Walk 6000 steps,12
3/7/2026,Day 3,Walk 6000 steps,12
3/9/2026,Day 5,Walk 6000 steps,13
,Optional Day 7,Walk 6000 steps,13
,,,
,,,
,,,
,,La Jolla Half Marathon and 5K,
,,May 26- Saturday,
,,"5,000 - 10,000 participants",